�ܺ�t	nr
�滢	nt


宫颈糜烂 nd
早泄 nd
霉菌性阴道炎 nd
念珠菌性阴道炎 nd
真菌性阴道炎 nd
前列腺炎 nd
前列腺精囊炎 nd
高血压 nd
高血压病 nd
风眩 nd
月经不调 nd
月经失调 nd
小阴茎 nd
手足口病 nd
小儿手足口病 nd
糖尿病 nd
消渴 nd
子宫肌瘤 nd
子宫良性肿瘤 nd
颈椎病 nd
颈椎退行性变 nd
颈椎骨质增生 nd
乙肝 nd
乙型肝炎 nd
痔疮 nd
痔核 nd
痔病 nd
痔疾 nd
乳腺增生 nd
乳房囊性增生病 nd
小叶增生 nd
乳腺结构不良症 nd
纤维囊性病 nd
盆腔炎 nd
癫痫 nd
羊癫疯 nd
羊角风 nd
腰椎间盘突出 nd
椎间盘突出 nd
阳痿 nd
勃起功能障碍 nd
勃起机能障碍 nd
勃起无力 nd
阳萎 nd
勃起不足 nd
湿疹 nd
乳腺癌 nd
乳癌 nd
尖锐湿疣 nd
尖圭湿疣 nd
生殖器疣 nd
性病疣 nd
艾滋病 nd
获得性免疫缺陷综合征 nd
获得性免疫缺陷综合症 nd
获得性免疫功能丧失症 nd
AIDS nd
胃病 nd
细菌性阴道炎 nd
阴道炎 nd
细菌性阴道病 nd
非特异性阴道炎 nd
荨麻疹 nd
风团 nd
瘾疹 nd
感冒 nd
急性鼻咽炎 nd
急性上呼吸道感染 nd
上感 nd
卡他性鼻炎 nd
普通感冒 nd
伤风 nd
口腔溃疡 nd
口疮 nd
飞滋 nd
口炎疮 nd
复发性口疮 nd
冠心病 nd
慢性胃炎 nd
慢性肠胃炎 nd
慢性胃黏膜炎 nd
胃络痛 nd
胆结石 nd
胆囊结石 nd
胆石症 nd
肾结石 nd
肾石病 nd
肾石 nd
肾石症 nd
梅毒 nd
脚气 nd
香港脚 nd
尿路感染 nd
尿感 nd
泌尿道感染 nd
慢性咽炎 nd
梅核气 nd
皮肤过敏 nd
皮炎 nd
性交疼痛 nd
交媾困难 nd
性感不快 nd
性交困难 nd
包皮龟头炎 nd
鼻窦炎 nd
鼻渊 nd
鼻炎 nd
痛经 nd
经期疼痛 nd
痛风 nd
滴虫性阴道炎 nd
阴道毛滴虫病 nd
慢性支气管炎 nd
慢支 nd
气管炎 nd
久咳 nd
过敏性鼻炎 nd
变态反应性鼻炎 nd
变应性鼻炎 nd
带状疱疹 nd
缠腰火丹 nd
缠腰龙 nd
蛇盘疮 nd
蛇串疮 nd
胃癌 nd
癍瘕积聚 nd
便秘 nd
大便秘结 nd
大便难 nd
肺癌 nd
支气管癌 nd
支气管肺癌 nd
卵巢囊肿 nd
外阴瘙痒 nd
外阴瘙痒症 nd
外阴瘙痒病 nd
失眠症 nd
不眠症 nd
入睡和保持睡眠障碍 nd
失眠症 nd
不寐 nd
多寐 nd
健忘 nd
脂肪肝 nd
脂肝 nd
肝癖 nd
肝痞 nd
生殖器疱疹 nd
附件炎 nd
输卵管炎 nd
卵巢炎 nd
淋病 nd
慢性鼻炎 nd
腰肌劳损 nd
宫外孕 nd
肩周炎 nd
肩关节组织炎 nd
冻结肩 nd
肩凝症 nd
肩痹 nd
高血脂 nd
高脂血症 nd
高脂蛋白血症 nd
阴囊湿疹 nd
绣球风 nd
胞漏疮 nd
抑郁症 nd
宫颈癌 nd
子宫颈癌 nd
五色带 nd
水痘 nd
水花 nd
水疱 nd
甲亢 nd
甲状腺功能亢进 nd
瘿气 nd
包皮阴茎头炎 nd
前列腺增生 nd
前列腺肥大症 nd
小儿感冒 nd
小儿急性上呼吸道感染 nd
小儿上感 nd
急性鼻咽炎 nd
急性扁桃体炎 nd
性欲亢进 nd
心肌梗死 nd
心肌梗塞 nd
心梗 nd
类风湿性关节炎 nd
类风湿 nd
类风湿病 nd
类风湿关节炎 nd
�痹 nd
男性不育 nd
流产 nd
小产 nd
坐骨神经痛 nd
偏痹 nd
痤疮 nd
粉刺 nd
青春痘 nd
暗疮 nd
